test,elevator_id,line,parent_station,Station (for Betsy),children_ids_served,elevator_type,escalator_direction,facility_name,alternate_elevator_ids,alternate_service_long_text,Entering System Categorization,Exiting System Categorization,What station to EXIT at,Short Text,Questions/Notes,Is direction important?,Is the line/mode important?,secondary_alternate_service_text,elevator_name,alternate_service_short_text,facility_lat,facility_lon
25,969,R,place-asmnl,Ashmont,70094;door-asmnl-matpn,Elevator,,Alewife platform to Mattapan Line lobby,968,"To board, travel along the busway to the Peabody Sq lobby and use Ashmont Elevator 968.",2 - Accessible route available,N/A,,,,,,,ASHMONT - Alewife Bound Platform to Lobby,Ashmont Elevator 969 (Alewife-bound platform to south lobby) is not working. Please use Ashmont Elevator 968 at Peabody Square north lobby.,,
66,970,R,place-asmnl,Ashmont,70093;door-asmnl-matpn,Elevator,,"Ashmont platform to Mattapan Line lobby, busway",,"To exit the platform, notify a train motorperson or use a station call box to request assistance. Alternatively, travel to the Beale St walkway to access Dorchester Ave, the busway, and Peabody Sq.",N/A,4B - Subway - call for assistance,,,,,,,ASHMONT - Outbound Platform to Buses/Mattapan Trolley,Ashmont Elevator 970 (outbound platform to buses/Mattapan trolley) is not working. See www.mbta.comfor alt service.,,
1,716,O,place-astao,Assembly,70278;70279;door-astao-foley,Elevator,,Foley Street to unpaid lobby,"718, 719","To exit, proceed to the south end of the platform and use Assembly Elevator 719, then use Assembly Elevator 718 to access Revolution Dr. To board, travel to the Revolution Dr entrance and use Assembly Elevator 718, then use Assembly Elevator 719 to access the platform.",2D - Daisy chain,2D - Daisy chain,,,,,,,ASSEMBLY - North Entrance to North Lobby,Assembly Elevator 716 (lobby to Foley St) is not working. Use Assembly Elevators 719 (south platform) and 718 (Revolution Rd).,,
2,717,O,place-astao,Assembly,70278;70279;door-astao-foley,Elevator,,Platform to Foley Street paid lobby,"718, 719","To exit, proceed to the south end of the platform and use Assembly Elevator 719, then use Assembly Elevator 718 to access Revolution Dr. To board, travel to the Revolution Dr entrance and use Assembly Elevator 718, then use Assembly Elevator 719 to access the platform.",2D - Daisy chain,2D - Daisy chain,,,,,,,ASSEMBLY - Platform to North Lobby,Assembly Elevator 717 (lobby to north platform) is not working. Use Assembly Elevators 719 (south platform) and 718 (Revolution Rd).,,
3,718,O,place-astao,Assembly,70278;70279;door-astao-revol,Elevator,,Revolution Drive to unpaid lobby,"716, 717","To exit, proceed to the north end of the platform and use Assembly Elevator 717, then use Assembly Elevator 716 to access Foley St. To board, travel to the Foley St entrance and use Assembly Elevator 716, then use Assembly Elevator 717 to access the platform.",2D - Daisy chain,2D - Daisy chain,,,,,,,ASSEMBLY - South Entrance to South Lobby,Assembly Elevator 718 (lobby to Revolution Rd) is not working. Use Assembly Elevators 717 (north platform) and 716 (Foley St).,,
4,719,O,place-astao,Assembly,70278;70279;door-astao-revol,Elevator,,Platform to Revolution Drive paid lobby,"716, 717","To exit, proceed to the north end of the platform and use Assembly Elevator 717, then use Assembly Elevator 716 to access Foley St. To board, travel to the Foley St entrance and use Assembly Elevator 716, then use Assembly Elevator 717 to access the platform.",2D - Daisy chain,2D - Daisy chain,,,,,,,ASSEMBLY - Platform to South Lobby,Assembly Elevator 719 (lobby to south platform) is not working. Use Assembly Elevators 717 (north platform) and 716 (Foley St).,,
8,769,G,place-balsq,Ball Square,70509;70510;door-balsq-broadway,Elevator,,Platform to Broadway lobby,,"To exit, proceed to the track crossing located at the south end of the platform, then continue to the Boston Ave lobby. To board, use the Boston Ave entrance located at the intersection of Boston Ave and Broadway.",2B - No elevator needed,2B - No elevator needed,,,,,,,,,42.399775,-71.110929
19,853,O,place-bbsta,Back Bay,70014;70015,Elevator,,Orange Line platform to lobby,852,"A shuttle bus will be available to transport customers between Back Bay and Massachusetts Avenue. To exit, exit the train at Massachusetts Avenue and find station personnel or use a station call box to request the shuttle bus to Back Bay. To board, find station personnel or use a station call box at Back Bay to request the shuttle bus to Massachusetts Avenue.",3B - Shuttle Bus,3B - Shuttle Bus,Massachusetts Avenue,,,,,,BACK BAY - Orange Line Platform to Lobby,Back Bay Elevator 853 (Orange Line platform to lobby) is not working. See www.mbta.com for alt service.,,
20,854,"O, COMM",place-bbsta,Back Bay,NEC-2276;NEC-2276-02,Elevator,,Commuter Rail track 2 to lobby,"849, 850, 841, 842","To exit, exit the train at Ruggles or Forest Hills, then take an Oak Grove-bound train to Back Bay and use Back Bay Elevator 853. To board the Commuter Rail, use Back Bay Elevator 853 to access the Orange Line platform, then take a Forest Hills-bound train to Ruggles or Forest Hills and transfer to the Commuter Rail. Alternatively, board or exit Commuter Rail trains at South Station. Please see station personnel or a train conductor for assistance. In addition, check the Commuter Rail train schedules for train arrival/departure times at Ruggles and Forest Hills by visiting mbta.com/schedules.",3D - CR switch to subway,3D - CR switch to subway,"Ruggles, Forest Hills",,,,,"To exit, exit the train at Forest Hills, then take an Oak Grove-bound train to Back Bay and use Back Bay Elevator 853. To board the Commuter Rail, use Back Bay Elevator 853 to access the Orange Line platform, then take a Forest Hills-bound train to Forest Hills and transfer to the Commuter Rail. Alternatively, board or exit Commuter Rail trains at South Station. Please see station personnel or a train conductor for assistance. In addition, check the Commuter Rail train schedules for train arrival/departure times at Forest Hills and South Station by visiting mbta.com/schedules.",BACK BAY - Commuter Rail Track 2 to Lobby,Back Bay Elevator 853 (commuter rail track 2 to lobby) is not working. Contact a conductor for assistance or go to South Station.,,
21,855,"O, COMM",place-bbsta,Back Bay,NEC-2276;NEC-2276-01;NEC-2276-03,Elevator,,Commuter Rail tracks 1 and 3 to lobby,"849, 850, 841, 842","To exit, exit the train at Ruggles or Forest Hills, then take an Oak Grove-bound train to Back Bay and use Back Bay Elevator 853. To board the Commuter Rail, use Back Bay Elevator 853 to access the Orange Line platform, then take a Forest Hills-bound train to Ruggles or Forest Hills and transfer to the Commuter Rail. Alternatively, board or exit Commuter Rail trains at South Station. Please see station personnel or a train conductor for assistance. In addition, check the Commuter Rail train schedules for train arrival/departure times at Ruggles and Forest Hills by visiting mbta.com/schedules.",3D - CR switch to subway,3D - CR switch to subway,"Ruggles, Forest Hills",,,,,"To exit, exit the train at Forest Hills, then take an Oak Grove-bound train to Back Bay and use Back Bay Elevator 853. To board the Commuter Rail, use Back Bay Elevator 853 to access the Orange Line platform, then take a Forest Hills-bound train to Forest Hills and transfer to the Commuter Rail. Alternatively, board or exit Commuter Rail trains at South Station. Please see station personnel or a train conductor for assistance. In addition, check the Commuter Rail train schedules for train arrival/departure times at Forest Hills and South Station by visiting mbta.com/schedules.",BACK BAY - Commuter Rail Tracks 1&3 to Lobby,Back Bay Elevator 855 (commuter rail tracks 1 and 3 to lobby) is not working. Contact a conductor for assistance or go to South Station.,,
22,856,"O, COMM",place-bbsta,Back Bay,NEC-2276;WML-0012-05;WML-0012-07,Elevator,,Commuter Rail tracks 5 and 7 to lobby,"849, 850, 841, 842","To exit, exit the train at Ruggles or Forest Hills, then take an Oak Grove-bound train to Back Bay and use Back Bay Elevator 853. To board the Commuter Rail, use Back Bay Elevator 853 to access the Orange Line platform, then take a Forest Hills-bound train to Ruggles or Forest Hills and transfer to the Commuter Rail. Alternatively, board or exit Commuter Rail trains at South Station. Please see station personnel or a train conductor for assistance. In addition, check the Commuter Rail train schedules for train arrival/departure times at Ruggles and Forest Hills by visiting mbta.com/schedules.",3D - CR switch to subway,3D - CR switch to subway,"Ruggles, Forest Hills",,,,,"To exit, exit the train at Forest Hills, then take an Oak Grove-bound train to Back Bay and use Back Bay Elevator 853. To board the Commuter Rail, use Back Bay Elevator 853 to access the Orange Line platform, then take a Forest Hills-bound train to Forest Hills and transfer to the Commuter Rail. Alternatively, board or exit Commuter Rail trains at South Station. Please see station personnel or a train conductor for assistance. In addition, check the Commuter Rail train schedules for train arrival/departure times at Forest Hills and South Station by visiting mbta.com/schedules.",BACK BAY - Commuter Rail Tracks 4&5 to Lobby,Back Bay Elevator 855 (commuter rail tracks 4 and 5 to lobby) is not working. Contact a conductor for assistance or go to South Station.,,
35,886,B,place-bmmnl,Beachmont,70055;door-bmmnl-main,Elevator,,Bowdoin platform to lobby,"887, 884, 885","To exit, exit the train at Suffolk Downs, then take a Wonderland-bound train to Beachmont and use Beachmont Elevator 887. To board, use Beachmont Elevator 887 to access the Wonderland platform. Take a Wonderland-bound train to Revere Beach, then transfer to a Bowdoin-bound train.",3A - Backtrack,3A - Backtrack,Suffolk Downs,,,,,,BEACHMONT - Bowdoin platform to Lobby,Beachmont Elevator 886 (Government Center-bound platform to lobby) is not working. See www.mbta.comfor alt service.,,
36,887,B,place-bmmnl,Beachmont,70056;door-bmmnl-main,Elevator,,Wonderland platform to lobby,"886, 884, 885","To exit, exit the train at Revere Beach, then take a Bowdoin-bound train to Beachmont and use Beachmont Elevator 886. To board, use Beachmont Elevator 886 to access the Bowdoin platform. Take a Bowdoin-bound train to Suffolk Downs, then transfer to a Wonderland-bound train.",3A - Backtrack,3A - Backtrack,Revere Beach,,,,,,BEACHMONT - Wonderland Platform to Lobby,Beachmont Elevator 887 (Wonderland-bound platform to lobby) is not working. See www.mbta.com for alt service.,,
29,867,R,place-brdwy,Broadway,70081;70082;door-brdwy-main,Elevator,,Platform to lobby,"872, 879, 880","A shuttle bus will be available to transport customers between Broadway and Andrew. To exit, exit the train at Andrew and find station personnel or use a station call box to request the shuttle bus to Broadway. To board, find station personnel or use a station call box at Broadway to request the shuttle bus to Andrew.",3B - Shuttle Bus,3B - Shuttle Bus,Andrew,,,,,,BROADWAY - Red Line Platform to Lobby,Broadway Elevator 867 (platform to lobby) is not working. See www.mbta.comfor alt service.,,
30,868,R,place-brdwy,Broadway,70081;70082;door-brdwy-main,Elevator,,Lobby to street,"872, 879, 880","A shuttle bus will be available to transport customers between Broadway and Andrew. To exit, exit the train at Andrew and find station personnel or use a station call box to request the shuttle bus to Broadway. To board, find station personnel or use a station call box at Broadway to request the shuttle bus to Andrew.",3B - Shuttle Bus,3B - Shuttle Bus,Andrew,,,,,,BROADWAY - Lobby to Street,Broadway Elevator 868 (lobby to street) is not working. See www.mbta.com for alt service.,,
7,811,R,place-brntn,Braintree,70105;Braintree-01;Braintree-02,Elevator,,Red Line platform to lobby,"805, 810","A shuttle bus will be available to transport customers between Braintree and Quincy Adams. To exit, exit the train at Quincy Adams and find station personnel or use a station call box to request the shuttle bus to Braintree. To board, find station personnel or use a station call box at Braintree to request the shuttle bus to Quincy Adams. Alternatively, customers may also use Bus Routes 230 and 236 for transportation between Braintree and Quincy Center.",3B - Shuttle Bus,3B - Shuttle Bus,Quincy Adams,,Additonal local bus routes,,,,BRAINTREE - Red Line Platform to Lobby,Braintree Elevator 811 (Red Line platform) is not working. Contact station personnel for a shuttle to and from Quincy Adams.,,
48,933,O,place-ccmnl,Community College,70028;70029;door-ccmnl-main,Elevator,,Paid lobby to platform,"840, 881","A shuttle bus will be available to transport customers between Community College and Sullivan. To exit, exit the train at Sullivan and find station personnel or use a station call box to request the shuttle bus to Community College. To board, find station personnel or use a station call box at Community College to request the shuttle bus to Sullivan.",3B - Shuttle Bus,3B - Shuttle Bus,Sullivan,,,,,,COMMUNITY COLLEGE - Lobby to Orange Line Platform,Community College Elevator 933 (Orange Line platform to lobby) is not working. See www.mbta.com for alt service.,,
55,951,R,place-chmnl,Charles/MGH,70069;door-chmnl-main,Elevator,,Ashmont/Braintree platform to lobby,"952, 866, 863","To exit, exit the train at Park Street onto the center platform, then take to an Alewife-bound train to Charles/MGH and use Charles/MGH Elevator 952. To board, take an Alewife-bound train to Kendall/MIT, then transfer to an Ashmont or Braintree-bound train. See station personnel or use a station call box at Kendall/MIT to gain entry at the faregate.     ",3A - Backtrack,3A - Backtrack,Park Street,,,,,,CHARLES/MGH - Ashmont/Braintree Platform to Lobby,Charles/MGH Elevator 951 (Ashmont/Braintree platform to lobby) is not working. See www.mbta.com for alt service.,,
56,952,R,place-chmnl,Charles/MGH,70074;door-chmnl-main,Elevator,,Alewife platform to lobby,"951, 866, 863","To exit, exit the train at Kendall/MIT, then take an Ashmont/Braintree-bound train to Charles/MGH and use Charles/MGH Elevator 951. See station personnel or use a station call box at Kendall/MIT to gain entry at the faregate. To board, take an Ashmont or Braintree-bound train to Park Street, exit onto the center platform, and transfer to an Alewife-bound train.",3A - Backtrack,3A - Backtrack,Kendall/MIT,,,,,,CHARLES/MGH - Alewife Bound Platform to Lobby,Charles/MGH Elevator 952 (Alewife-bound platform to lobby) is not working. See www.mbta.com for alt service.,,
29,876,O,place-chncl,Chinatown,70019;door-chncl-ogelevator,Elevator,,"Oak Grove platform to Washington St, Essex St","922, 857, 858, 859","To exit, exit the train at Tufts Medical Center and proceed to the Washington St exit. At street level, cross Washington St, then take a Silver Line SL4 or SL5 bus to Washington St and Essex St (Chinatown Station). Alternatively, if possible, travel 0.2 miles north on Washington St to Chinatown Station. To board, use Chinatown Elevator 922 to access the Forest Hills platform. Take an Forest Hills-bound train to Tufts Medical Center transfer to an Oak Grove-bound train.",3A - Backtrack,3A - Backtrack,Tufts Medical Center,,,,,,CHINATOWN - Oak Grove Platform to Washington & Essex Sts,Chinatown Elevator 876 (Oak Grove platform to Washington and Essex Streets) is not working. See www.mbta.com for alt service.,,
46,922,O,place-chncl,Chinatown,70018;door-chncl-fhelevator,Elevator,,"Forest Hills platform to Boylston St, Washington St","876, 857, 858, 859","To exit, exit the train at Tufts Mediical Center, then take an Oak Grove-bound train to Chinatown and use Chinatown Elevator 876. To board, proceed to the Silver Line SL5 bus stop at Washington St and Essex St, and take an SL5 (Downtown) bus to Tufts Medical Center (stay on bus past the Temple Pl stop). Alternatively, if possible, travel 0.2 miles south on Washington St to Tufts Medical Center.",3 - Use a different station,3A - Backtrack,Tufts Mediical Center,,,,,,CHINATOWN - Forest Hills Platform to Boylston & Washington Sts,Chinatown Elevator 922 (Forest Hills platform to Washington and Boylston Streets) is not working. See www.mbta.com for alt service.,,
26,860,R,place-cntsq,Central,70070;door-cntsq-obmass,Elevator,,Alewife platform to Massachusetts Avenue,"861, 821, 973","To exit, exit the train at Harvard, then take an Ashmont or Braintree-bound train to Central and use Central Elevator 861. To board, cross Mass Ave to the Route 1 bus stop at Mass Ave and Prospect St, and take a Route 1 (Harvard) bus to Harvard to access the Red Line.",3C - Use regular bus,3A - Backtrack,Harvard,,,,,,CENTRAL - Alewife Bound Platform to Street,Central Square Elevator 860 (Alewife-bound platform to street) is not working. See www.mbta.com for alt service.,,
27,861,R,place-cntsq,Central,70069;door-cntsq-ibmass,Elevator,,Ashmont/Braintree platform to Massachusetts Avenue,"860, 821, 973,  863, 866","To exit, exit the train at Harvard, then proceed to the Route 1 bus stop at Mass Ave and Holyoke St, and take a Route 1 (Nubian) bus to Mass Ave and Pearl St (Central). Alternatively, exit the train at Kendall/MIT and take an Alewife-bound train to Central, and use Central Elevator 860. To board, cross Mass Ave and use Central Elevator 860 to access the Alewife platform. Take an Alewife-bound train to Harvard and transfer to an Ashmont or Braintree-bound train.",3A - Backtrack,3C - Use regular bus,Harvard,,,,,,CENTRAL - Ashmont/Braintree Platform to Street,Central Square Elevator 861 (Ashmont/Braintree platform to street level) is not working. See www.mbta.com for alt service.,,
69,976,G,place-coecl,Copley,70154;door-coecl-bpl,Elevator,,Park Street & North platform to Boylston Street,"977, 962, 963, 972, 971","To exit, exit the train at Arlington and proceed to the westbound platform, then take a westbound train to Copley and use Copley Elevator 977. To board, cross Boylston St and use Copley Elevator 977 to access the westbound platform.  Take a Boston College, Cleveland Circle or Riverside-bound train to Kenmore, then proceed to the eastbound platform and transfer to an eastbound train.",3A - Backtrack,3A - Backtrack,Arlington,,,,,,COPLEY - Park St Platform to Street,Copley Elevator 976 (Park Street-bound platform to street) is not working. See www.mbta.com for alt service.,,
